Page Number,Element ID,Parent Element,Coordinates,Detection Class Probability,Category,Text,Table as HTML
1,e853e11c12b6a15ba17fadac572f5a06,,"CoordinatesMetadata(points=((201.62214444444442, 107.82061111111116), (201.62214444444442, 135.82061111111096), (557.9935444444443, 135.82061111111096), (557.9935444444443, 107.82061111111116)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858A870A0>)",,Title,Franchise Disclosure Document,
1,fef666dabaf0a7d94b8f577c6484d462,,"CoordinatesMetadata(points=((1411.0052777777776, 107.82061111111116), (1411.0052777777776, 135.82061111111096), (1507.9499444444443, 135.82061111111096), (1507.9499444444443, 107.82061111111116)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858A872E0>)",,Title,Page 42,
1,619a3249f6e99d4a8a51f3ddfd09e73c,,"CoordinatesMetadata(points=((435.4822006225586, 204.62406029447843), (435.4822006225586, 242.58861111111085), (1266.7853393554688, 242.58861111111085), (1266.7853393554688, 204.62406029447843)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858A87850>)",0.9969720840454102,Title,FINANCIAL PERFORMANCE REPRESENTATIONS,
1,db7b6068d87a5d987eadbcba3c652633,,"CoordinatesMetadata(points=((455.6219444444444, 210.28861111111104), (455.6219444444444, 235.62194444444438), (575.6219444444445, 235.62194444444438), (575.6219444444445, 210.28861111111104)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858A87880>)",,Image,ITEM 19.,
1,593c32bfa01e9357a7f184c762d054a2,,"CoordinatesMetadata(points=((201.62214444444442, 311.7735047271286), (201.62214444444442, 581.4927724939614), (1509.9552777777776, 581.4927724939614), (1509.9552777777776, 311.7735047271286)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858A87A00>)",0.9976874589920044,NarrativeText,"The FTC’s Franchise Rule permits a franchisor to provide information about the actual or potential financial performance of its franchised and/or franchisor-owned outlets, if there is a reasonable basis for the information, and if the information is included in the Disclosure Document. Financial performance information that differs from that included in Item 19 may be given only if: (1) a franchisor provides the actual records of an existing outlet you are considering buying; or (2) a franchisor supplements the information provided in this Item 19, for example, by providing information about possible performance at a particular location or under particular circumstances.",
1,44f2999a280dd44dd39f95ba9f133819,,"CoordinatesMetadata(points=((198.07272338867188, 620.1552777777778), (198.07272338867188, 853.2159512284874), (1509.9539444444445, 853.2159512284874), (1509.9539444444445, 620.1552777777778)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858AE3550>)",0.9605217576026917,NarrativeText,"Basis Zoomin Groomin® is a mobile pet grooming business and each Zoomin Groomin® Vehicle is an Outlet. There were 70 Zoomin Groomin® Vehicles in operation as of December 31, 2023, all of which franchisees owned. We excluded 55 of them from these financial performance representations because they began operations after January 1, 2023. We excluded 4 additional Outlets because they were transferred to new owners in 2023.",
1,87c00dd81fbf0e373072947034854096,,"CoordinatesMetadata(points=((195.62840270996094, 888.1552777777774), (195.62840270996094, 998.1552777777775), (1509.9519444444445, 998.1552777777775), (1509.9519444444445, 888.1552777777774)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858AE3910>)",0.8964482545852661,NarrativeText,"The following tables present historic gross revenue figures for the remaining 11 Zoomin Groomin® Vehicles, which operated for the entire year from January 1, 2023, through December 31, 2023. Data is presented by quartile and then cumulatively.",
1,08a0a1d9ed5e6e51b9f7856cdaeb4096,,"CoordinatesMetadata(points=((419.5908777777777, 1080.1552777777774), (419.5908777777777, 1113.488611111111), (1291.986611111111, 1113.488611111111), (1291.986611111111, 1080.1552777777774)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858AE3FA0>)",,Title,GROSS REVENUES FOR FRANCHISEES PER VEHICLE,
1,9b10f43d33772f72fd59e74a74350e58,,"CoordinatesMetadata(points=((219.6736111111111, 1276.1552777777777), (219.6736111111111, 1347.488611111111), (452.0069444444444, 1347.488611111111), (452.0069444444444, 1276.1552777777777)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858AE3CD0>)",,Title,Total Number of Outlets,
1,7f9e99fb75916c6a3862fd28873c6ce1,9b10f43d33772f72fd59e74a74350e58,"CoordinatesMetadata(points=((323.3438777777778, 1392.8219444444442), (323.3438777777778, 1426.1552777777777), (348.3438777777778, 1426.1552777777777), (348.3438777777778, 1392.8219444444442)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858B434F0>)",,UncategorizedText,3,
1,e4f57bf1c278fb6c4c6f71abc4ba13f7,9b10f43d33772f72fd59e74a74350e58,"CoordinatesMetadata(points=((459.0, 1275.0), (459.0, 1314.0), (473.0, 1314.0), (473.0, 1275.0)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858974760>)",,UncategorizedText,|,
1,5df3ebabdcfc5b79957863c7e0ca7153,9b10f43d33772f72fd59e74a74350e58,"CoordinatesMetadata(points=((484.00947777777776, 1158.8219444444442), (484.00947777777776, 1347.488611111111), (1221.7652777777776, 1347.488611111111), (1221.7652777777776, 1158.8219444444442)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858AE3DF0>)",,UncategorizedText,"Zoomin Groomin Vehicles First Quartile of Franchisees For the Period January 1, 2023 to December 31, 2023 Average Annual Sales / (Median Annual Sales)",
1,be75208a18a16743b7dd4cb22ae279f6,,"CoordinatesMetadata(points=((839.9379444444443, 1276.1552777777777), (839.9379444444443, 1347.488611111111), (1114.8846111111109, 1347.488611111111), (1114.8846111111109, 1276.1552777777777)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858B43370>)",,Title,Highest and Lowest Annual Sales,
1,d2d92ab224e6b0aa1812d0ed7fc240ea,,"CoordinatesMetadata(points=((1147.4979444444446, 1276.1552777777777), (1147.4979444444446, 1426.1552777777777), (1484.404611111111, 1426.1552777777777), (1484.404611111111, 1276.1552777777777)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858B43400>)",,Title,Number (%) of Vehicles that Met or Exceeded Average 1 (33%),
1,97c9841bfb1c8f6983a331c400f7f770,d2d92ab224e6b0aa1812d0ed7fc240ea,"CoordinatesMetadata(points=((568.2298777777777, 1392.8219444444442), (568.2298777777777, 1464.8219444444442), (723.7639444444443, 1464.8219444444442), (723.7639444444443, 1392.8219444444442)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858B43760>)",,UncategorizedText,"$256,800 ($249,755)",
1,b5eae502fde9c15301f3e843e1445101,d2d92ab224e6b0aa1812d0ed7fc240ea,"CoordinatesMetadata(points=((834.3632777777776, 1392.8219444444442), (834.3632777777776, 1426.1552777777777), (1120.4639444444442, 1426.1552777777777), (1120.4639444444442, 1392.8219444444442)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858B438E0>)",,UncategorizedText,"$271,881 - $248,764",
1,9b4e21b87e5dbb57b5a9035d6299e5db,,"CoordinatesMetadata(points=((219.6736111111111, 1667.4886111111107), (219.6736111111111, 1739.488611111111), (452.0069444444444, 1739.488611111111), (452.0069444444444, 1667.4886111111107)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858B43F10>)",,Title,Total Number of Outlets,
1,22b5a83dff718e5acc631eae9879f6a9,9b4e21b87e5dbb57b5a9035d6299e5db,"CoordinatesMetadata(points=((323.3438777777778, 1784.821944444444), (323.3438777777778, 1818.1552777777777), (348.3438777777778, 1818.1552777777777), (348.3438777777778, 1784.821944444444)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858966E80>)",,UncategorizedText,3,
1,88e9a565a259fb2b2b8d83dc88f3eac4,9b4e21b87e5dbb57b5a9035d6299e5db,"CoordinatesMetadata(points=((459.0, 1666.0), (459.0, 1705.0), (473.0, 1705.0), (473.0, 1666.0)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D8590A23D0>)",,UncategorizedText,|,
1,fc57fc3ff284243287137de6faf8bc05,9b4e21b87e5dbb57b5a9035d6299e5db,"CoordinatesMetadata(points=((484.00947777777776, 1550.8219444444442), (484.00947777777776, 1739.488611111111), (1221.7652777777776, 1739.488611111111), (1221.7652777777776, 1550.8219444444442)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858B43CD0>)",,UncategorizedText,"Zoomin Groomin Vehicles Second Quartile of Franchisees For the Period January 1, 2023 to December 31, 2023 Average Annual Sales / (Median Annual Sales)",
1,a44f5b46fc77cd396c20f1afe1ae2253,,"CoordinatesMetadata(points=((839.9379444444443, 1667.4886111111107), (839.9379444444443, 1739.488611111111), (1114.8846111111109, 1739.488611111111), (1114.8846111111109, 1667.4886111111107)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858B43F70>)",,Title,Highest and Lowest Annual Sales,
1,4cd428d8f31a5f257b79af94bbe0d143,,"CoordinatesMetadata(points=((1147.4979444444446, 1667.4886111111107), (1147.4979444444446, 1818.1552777777777), (1484.404611111111, 1818.1552777777777), (1484.404611111111, 1667.4886111111107)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D858B431F0>)",,Title,Number (%) of Vehicles that Met or Exceeded Average 2 (66.6%),
1,deaa7dc8d27a45cc2104342fef93de2c,4cd428d8f31a5f257b79af94bbe0d143,"CoordinatesMetadata(points=((568.2298777777777, 1784.821944444444), (568.2298777777777, 1856.1552777777774), (723.7639444444443, 1856.1552777777774), (723.7639444444443, 1784.821944444444)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D8589668E0>)",,UncategorizedText,"$225,679 ($236,159)",
1,7ac27acaaf83fd17bbb528dc72fa8db3,4cd428d8f31a5f257b79af94bbe0d143,"CoordinatesMetadata(points=((834.3632777777776, 1784.821944444444), (834.3632777777776, 1818.1552777777777), (1120.4639444444442, 1818.1552777777777), (1120.4639444444442, 1784.821944444444)), system=<unstructured.documents.coordinates.PixelSpace object at 0x000001D85895AF10>)",,UncategorizedText,"$238,003 - $202,875",
,32155a5cacec78b1b2a73f480d79753f,,,,PageBreak,,
