Name,Extension,Date accessed,Date modified,Date created,Folder Path,Original PDF File Name,Franchise Legal Name,FDD Year,Subfolder Old Name,Cleaned Legal Name,New Item PDF File Name,New PDF File Name,New Subfolder Name
1-800-GOT-JUNK_LLC_1-800-GOT-JUNK_2024_Items1-23.pdf,.pdf,8/29/2024 21:41,8/29/2024 20:42,8/29/2024 20:42,C:\Users\Miller\OneDrive - franchiseportal.io\WISCONSINFDDs\Items\,1-800-GOT-JUNK_LLC_1-800-GOT-JUNK_2024.pdf,1-800-GOT-JUNK? LLC,2024,1-800-GOT-JUNK_2024,1-800-GOT-JUNK LLC,1-800-GOT-JUNK LLC_2024_Items1-23.pdf,1-800-GOT-JUNK LLC_2024.pdf,1-800-GOT-JUNK LLC_2024
1-800-RADIATOR_FRANCHISOR_SPV_LLC_1-800-RADIATOR_&_AC®_2024_Items1-23.pdf,.pdf,8/29/2024 21:48,8/29/2024 20:43,8/29/2024 20:43,C:\Users\Miller\OneDrive - franchiseportal.io\WISCONSINFDDs\Items\,1-800-RADIATOR_FRANCHISOR_SPV_LLC_1-800-RADIATOR_&_AC®_2024.pdf,1-800-RADIATOR FRANCHISOR SPV LLC,2024,1-800-RADIATOR_2024,1-800-RADIATOR FRANCHISOR SPV LLC,1-800-RADIATOR FRANCHISOR SPV LLC_2024_Items1-23.pdf,1-800-RADIATOR FRANCHISOR SPV LLC_2024.pdf,1-800-RADIATOR FRANCHISOR SPV LLC_2024
1-800-Services_LLC_1-800-Plumber_2024_Items1-23.pdf,.pdf,8/29/2024 21:48,8/29/2024 20:43,8/29/2024 20:43,C:\Users\Miller\OneDrive - franchiseportal.io\WISCONSINFDDs\Items\,1-800-Services_LLC_1-800-Plumber_2024.pdf,"1-800-Services, LLC",2024,1-800-Services_2024,"1-800-SERVICES, LLC","1-800-SERVICES, LLC_2024_Items1-23.pdf","1-800-SERVICES, LLC_2024.pdf","1-800-SERVICES, LLC_2024"
1-800-Textiles_Franchises_LLC_1-800-Textiles_2024_Items1-23.pdf,.pdf,8/29/2024 21:50,8/29/2024 20:43,8/29/2024 20:43,C:\Users\Miller\OneDrive - franchiseportal.io\WISCONSINFDDs\Items\,1-800-Textiles_Franchises_LLC_1-800-Textiles_2024.pdf,"1-800-Textiles Franchises, LLC",2024,1-800-Textiles_2024,"1-800-TEXTILES FRANCHISES, LLC","1-800-TEXTILES FRANCHISES, LLC_2024_Items1-23.pdf","1-800-TEXTILES FRANCHISES, LLC_2024.pdf","1-800-TEXTILES FRANCHISES, LLC_2024"
1073355_Ontario_Limited_SCHOOLEY_MITCHELL®_2023_Items1-23.pdf,.pdf,8/29/2024 21:53,8/29/2024 20:49,8/29/2024 20:49,C:\Users\Miller\OneDrive - franchiseportal.io\WISCONSINFDDs\Items\,1073355_Ontario_Limited_SCHOOLEY_MITCHELL®_2023.pdf,1073355 Ontario Limited,2023,1073355_2023,1073355 ONTARIO LIMITED,1073355 ONTARIO LIMITED_2023_Items1-23.pdf,1073355 ONTARIO LIMITED_2023.pdf,1073355 ONTARIO LIMITED_2023
10X_Business_Advisor_Franchising_LLC_10X_Business_Advisor_2023_Items1-23.pdf,.pdf,8/29/2024 22:01,8/29/2024 20:49,8/29/2024 20:49,C:\Users\Miller\OneDrive - franchiseportal.io\WISCONSINFDDs\Items\,10X_Business_Advisor_Franchising_LLC_10X_Business_Advisor_2023.pdf,10X Business Advisor Franchising LLC,2023,10X_2023,10X BUSINESS ADVISOR FRANCHISING LLC,10X BUSINESS ADVISOR FRANCHISING LLC_2023_Items1-23.pdf,10X BUSINESS ADVISOR FRANCHISING LLC_2023.pdf,10X BUSINESS ADVISOR FRANCHISING LLC_2023
16_Handles_Franchising_LLC_16_Handles_2024_Items1-23.pdf,.pdf,8/29/2024 22:03,8/29/2024 20:50,8/29/2024 20:50,C:\Users\Miller\OneDrive - franchiseportal.io\WISCONSINFDDs\Items\,16_Handles_Franchising_LLC_16_Handles_2024.pdf,"16 Handles Franchising, LLC",2024,16_2024,"16 HANDLES FRANCHISING, LLC","16 HANDLES FRANCHISING, LLC_2024_Items1-23.pdf","16 HANDLES FRANCHISING, LLC_2024.pdf","16 HANDLES FRANCHISING, LLC_2024"
1800Packouts_Franchise_LLC_1-800-Packouts_2024_Items1-23.pdf,.pdf,8/29/2024 22:05,8/29/2024 20:50,8/29/2024 20:50,C:\Users\Miller\OneDrive - franchiseportal.io\WISCONSINFDDs\Items\,1800Packouts_Franchise_LLC_1-800-Packouts_2024.pdf,"1800Packouts Franchise, LLC",2024,1800Packouts_2024,"1800PACKOUTS FRANCHISE, LLC","1800PACKOUTS FRANCHISE, LLC_2024_Items1-23.pdf","1800PACKOUTS FRANCHISE, LLC_2024.pdf","1800PACKOUTS FRANCHISE, LLC_2024"
1HCS_Franchising_LLC_1Heart_Caregiver_Services_2024_Items1-23.pdf,.pdf,8/29/2024 22:08,8/29/2024 20:50,8/29/2024 20:50,C:\Users\Miller\OneDrive - franchiseportal.io\WISCONSINFDDs\Items\,1HCS_Franchising_LLC_1Heart_Caregiver_Services_2024.pdf,1HCS Franchising LLC,2024,1HCS_2024,1HCS FRANCHISING LLC,1HCS FRANCHISING LLC_2024_Items1-23.pdf,1HCS FRANCHISING LLC_2024.pdf,1HCS FRANCHISING LLC_2024
1st_Class_Franchising_LLC_1st_Class_Real_Estate_(Area_Rep)_2024_Items1-23.pdf,.pdf,8/29/2024 22:11,8/29/2024 20:50,8/29/2024 20:50,C:\Users\Miller\OneDrive - franchiseportal.io\WISCONSINFDDs\Items\,1st_Class_Franchising_LLC_1st_Class_Real_Estate_(Area_Rep)_2024.pdf,"1st Class Franchising, LLC",2024,1st_2024,"1ST CLASS FRANCHISING, LLC","1ST CLASS FRANCHISING, LLC_2024_Items1-23.pdf","1ST CLASS FRANCHISING, LLC_2024.pdf","1ST CLASS FRANCHISING, LLC_2024"
1_800_FLOWERS_COM_FRANCHISE_CO_INC_1-800-FLOWERS;_1-800-FLOWERS_COM_2023_Items1-23.pdf,.pdf,8/29/2024 22:19,8/29/2024 20:51,8/29/2024 20:51,C:\Users\Miller\OneDrive - franchiseportal.io\WISCONSINFDDs\Items\,1_800_FLOWERS_COM_FRANCHISE_CO_INC_1-800-FLOWERS;_1-800-FLOWERS_COM_2023.pdf,1 800 FLOWERS.COM FRANCHISE CO INC,2023,0,1 800 FLOWERS.COM FRANCHISE CO INC,1 800 FLOWERS.COM FRANCHISE CO INC_2023_Items1-23.pdf,1 800 FLOWERS.COM FRANCHISE CO INC_2023.pdf,1 800 FLOWERS.COM FRANCHISE CO INC_2023
1_800_WATER_DAMAGE_International_LLC_1-800_WATER_DAMAGE_2024_Items1-23.pdf,.pdf,8/29/2024 22:22,8/29/2024 20:51,8/29/2024 20:51,C:\Users\Miller\OneDrive - franchiseportal.io\WISCONSINFDDs\Items\,1_800_WATER_DAMAGE_International_LLC_1-800_WATER_DAMAGE_2024.pdf,"1 800 WATER DAMAGE International, LLC",2024,0,"1 800 WATER DAMAGE INTERNATIONAL, LLC","1 800 WATER DAMAGE INTERNATIONAL, LLC_2024_Items1-23.pdf","1 800 WATER DAMAGE INTERNATIONAL, LLC_2024.pdf","1 800 WATER DAMAGE INTERNATIONAL, LLC_2024"
