File Type,Original Name,New Name,Error
Main PDF,1-800-GOT-JUNK_LLC_1-800-GOT-JUNK_2024.pdf,1-800-GOT-JUNK LLC_2024.pdf,File not found
JSON,1-800-GOT-JUNK_LLC_1-800-GOT-JUNK_2024_FranchiseInfo.json,1-800-GOT-JUNK LLC_2024_FranchiseInfo.json,File not found
Subfolder PDF,1-800-GOT-JUNK_LLC_1-800-GOT-JUNK_2024_Items1-23.pdf,1-800-GOT-JUNK LLC_2024_Items1-23.pdf,File not found in subfolder
Items PDF,1-800-GOT-JUNK_LLC_1-800-GOT-JUNK_2024_Items1-23.pdf,1-800-GOT-JUNK LLC_2024_Items1-23.pdf,File not found in Items folder
Main PDF,1-800-RADIATOR_FRANCHISOR_SPV_LLC_1-800-RADIATOR_&_AC®_2024.pdf,1-800-RADIATOR FRANCHISOR SPV LLC_2024.pdf,File not found
JSON,1-800-RADIATOR_FRANCHISOR_SPV_LLC_1-800-RADIATOR_&_AC®_2024_FranchiseInfo.json,1-800-RADIATOR FRANCHISOR SPV LLC_2024_FranchiseInfo.json,File not found
Subfolder PDF,1-800-RADIATOR_FRANCHISOR_SPV_LLC_1-800-RADIATOR_&_AC®_2024_Items1-23.pdf,1-800-RADIATOR FRANCHISOR SPV LLC_2024_Items1-23.pdf,File not found in subfolder
Items PDF,1-800-RADIATOR_FRANCHISOR_SPV_LLC_1-800-RADIATOR_&_AC®_2024_Items1-23.pdf,1-800-RADIATOR FRANCHISOR SPV LLC_2024_Items1-23.pdf,File not found in Items folder
Main PDF,1-800-Services_LLC_1-800-Plumber_2024.pdf,"1-800-SERVICES, LLC_2024.pdf",File not found
JSON,1-800-Services_LLC_1-800-Plumber_2024_FranchiseInfo.json,"1-800-SERVICES, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,1-800-Services_LLC_1-800-Plumber_2024_Items1-23.pdf,"1-800-SERVICES, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,1-800-Services_LLC_1-800-Plumber_2024_Items1-23.pdf,"1-800-SERVICES, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,1-800-Textiles_Franchises_LLC_1-800-Textiles_2024.pdf,"1-800-TEXTILES FRANCHISES, LLC_2024.pdf",File not found
JSON,1-800-Textiles_Franchises_LLC_1-800-Textiles_2024_FranchiseInfo.json,"1-800-TEXTILES FRANCHISES, LLC_2024_FranchiseInfo.json",File not found
